id,pillar,audience_segment,topic_title,operator_problem,hidden_thinking_flaw,mental_model,central_visual_object,small_applied_example,paid_asset_bridge,priority,status
OL-001,Strategy Systems,Strategy and growth operators,Decision layer for messy business problems,Teams collect inputs but still cannot decide,They confuse more information with better judgment,Separate signal context options tradeoffs and next action,Decision layer,A weekly growth review moves from metrics recap to three decision options,Decision memo template,High,Idea
OL-002,Strategy Systems,Strategy and growth operators,Problem decomposition before solution mode,Operators jump to fixes before defining the real problem,They treat symptoms as root causes,Problem tree decomposition,Operating map,A churn issue is split into acquisition fit onboarding value and retention signals,Business problem canvas,High,Idea
OL-003,Strategy Systems,Corporate professionals,MIS that creates decisions not reporting noise,Reports are produced but leaders still ask what to do,They assume reporting equals decision support,MIS-to-decision translation,Decision layer,A sales MIS adds risk interpretation and decision asks instead of more tables,MIS decision-layer template,High,Idea
OL-004,Strategy Systems,Founder’s office and chief-of-staff professionals,Tradeoff map for executive recommendations,Recommendations sound confident but ignore tradeoffs,They optimize for one metric without naming what breaks,Tradeoff mapping,Scorecard,A pricing recommendation shows revenue margin adoption and operational risk,Decision memo kit,High,Idea
OL-005,Strategy Systems,Strategy and growth operators,Signal versus noise in growth work,Growth teams chase every metric movement,They treat all data changes as equally meaningful,Signal filter,Funnel,A traffic spike is tested against conversion quality retention and source reliability,Growth diagnosis checklist,Medium,Idea
OL-006,Strategy Systems,Consultants and small advisory teams,Client problem framing canvas,Client briefs are vague and lead to scattered work,They accept the client’s wording as the actual problem,Brief reframing canvas,Teardown map,A broad growth ask becomes a focused activation and retention question,Client diagnostic canvas,Medium,Idea
OL-007,Strategy Systems,Strategy and growth operators,GTM assumption stack,Launch plans hide untested assumptions,They treat a plan as proof that the market logic is valid,Assumption stack,Proof stack,A new offer is mapped across audience pain channel promise and conversion proof,GTM assumption tracker,High,Idea
OL-008,Strategy Systems,Corporate professionals,Meeting-to-decision conversion,Meetings end with discussion but no decision movement,They confuse alignment conversation with decision closure,Meeting-to-decision chain,Work-to-impact chain,A project meeting ends with owner decision risk and next evidence required,Meeting notes-to-decision template,Medium,Idea
OL-009,Strategy Systems,Strategy and growth operators,Decision rights map for cross-functional work,Projects stall because ownership is unclear,They assign tasks without defining decision rights,Decision rights map,Operating map,A launch workflow separates recommend approve execute and escalate roles,Decision rights canvas,Medium,Idea
OL-010,Strategy Systems,Founder’s office and chief-of-staff professionals,Executive context compression,Updates overwhelm leaders with detail,They share effort instead of compressing context for action,Context compression,Narrative spine,A founder update moves from activity list to context risk decision and ask,Executive update template,High,Idea
OL-011,Founder Leverage,Early-stage founders,Founder control panel for lean teams,Founders track too much and still feel blind,They monitor activity instead of leverage signals,Control panel thinking,Control panel,A founder reduces 25 metrics into demand delivery cash and bottleneck signals,Founder control panel,High,Idea
OL-012,Founder Leverage,Solopreneurs,Recurring decision audit,Solo operators waste energy on repeated decisions,They treat recurring decisions as willpower problems,Decision audit,Loop,A weekly content service standardizes scope pricing delivery and follow-up decisions,Recurring decision tracker,High,Idea
OL-013,Founder Leverage,Early-stage founders,Offer clarity map,Offers are hard to sell because value is fuzzy,They describe features instead of the buyer’s operating pain,Offer clarity map,Ladder,A consulting offer is reframed from services list to pain outcome proof and process,Offer canvas,High,Idea
OL-014,Founder Leverage,Solopreneurs,Proposal factory without generic templates,Proposals take too long and vary in quality,They rebuild thinking from scratch each time,Proposal system,Operating map,A proposal flow standardizes diagnosis proof scope risk and next step,Proposal factory kit,High,Idea
OL-015,Founder Leverage,Founder’s office and chief-of-staff professionals,Weekly operating rhythm for founder context,Priorities change but the team lacks a rhythm,They rely on founder memory instead of a shared operating cadence,Operating rhythm,Loop,A Monday review uses priorities decisions blockers and proof of progress,Weekly operating rhythm kit,Medium,Idea
OL-016,Founder Leverage,Early-stage founders,Founder delegation by system,Delegation creates more follow-up work,They delegate tasks without the operating context,Delegation by system,Before/after system,A founder hands off customer onboarding with inputs standards exceptions and review rhythm,SOP pack,Medium,Idea
OL-017,Founder Leverage,Solopreneurs,Workload triage for one-person businesses,Everything feels urgent in a solo business,They prioritize by anxiety instead of leverage,Triage ladder,Ladder,A solopreneur sorts work into revenue delivery trust and maintenance layers,Priority triage sheet,Medium,Idea
OL-018,Founder Leverage,Early-stage founders,Bottleneck map for small teams,Founders misdiagnose slow growth as effort shortage,They do not locate the current system constraint,Bottleneck mapping,Operating map,A founder identifies that proposal follow-up not lead volume is the constraint,Bottleneck diagnosis canvas,High,Idea
